manufactor,Year,Hand,Gear,capacity_Engine,Engine_type,Prev_ownership,Curr_ownership,Price,Km,model,Supply_score
פולקסווגן,2013,3,אוטומטית,1800.0,בנזין,פרטית,פרטית,52000.0,133000.0,PASSAT CC,0
פולקסווגן,2012,1,אוטומטית,1400.0,בנזין,חדש,פרטית,30000.0,250000.0,GOLF,1392
קיה,2014,3,אוטומטית,1250.0,בנזין,פרטית,פרטית,40000.0,100000.0,PICANTO,9755
מרצדס,2009,4,אוטומטית,1400.0,בנזין,פרטית,פרטית,79000.0,290000.0,S-CLASS,0
פורד,2012,4,רובוטית,1600.0,בנזין,פרטית,פרטית,18400.0,195978.0,FOCUS,10966
קיה,2015,1,אוטומטית,1600.0,בנזין,חדש,פרטית,73000.0,60000.0,FORTE,2220
מאזדה,2015,3,אוטומטית,1500.0,בנזין,ליסינג,פרטית,36999.0,200000.0,MAZDA 3,6820
אופל,2016,2,אוטומטית,1400.0,בנזין,פרטית,פרטית,67000.0,76000.0,MOKKA,814
פולקסווגן,2014,1,אוטומטית,1568.0,טורבו דיזל,חדש,פרטית,58527.0,194000.0,CADDY COMBI,0
קיה,2013,2,אוטומטית,1400.0,בנזין,פרטית,פרטית,26900.0,147500.0,RIO,2256
אופל,2015,3,אוטומטית,1400.0,בנזין,פרטית,פרטית,20000.0,169000.0,ASTRA,186
סובארו,2016,3,אוטומטית,1600.0,בנזין,פרטית,פרטית,68000.0,107000.0,XV,3838
הונדה,2007,3,אוטומטית,1800.0,בנזין,פרטית,פרטית,21000.0,327000.0,CIVIC,3354
אאודי,2013,3,אוטומטית,1800.0,בנזין,פרטית,פרטית,68000.0,119000.0,A5,36
טויוטה,2014,2,אוטומטית,1600.0,בנזין,פרטית,פרטית,60000.0,148000.0,COROLLA,12436
ב.מ.וו,2015,3,אוטומטית,1600.0,בנזין,פרטית,פרטית,80000.0,180000.0,316I,290
פולקסווגן,2012,6,אוטומטית,1200.0,בנזין,פרטית,פרטית,29000.0,208000.0,GOLF,1392
סיטרואן,2019,1,אוטומטית,1200.0,בנזין,חדש,פרטית,70000.0,44000.0,C3,1357
ב.מ.וו,2010,4,אוטומטית,3000.0,בנזין,פרטית,פרטית,90000.0,118000.0,סדרה 5,0
הונדה,2011,2,אוטומטית,2000.0,בנזין,פרטית,פרטית,45000.0,130000.0,ACCORD,572
יונדאי,2016,2,אוטומטית,1400.0,בנזין,פרטית,פרטית,46000.0,132000.0,I25,5518
סיטרואן,2017,1,רובוטית,998.0,בנזין,חדש,פרטית,35000.0,49000.0,C1,669
פולקסווגן,2013,2,אוטומטית,1400.0,בנזין,פרטית,פרטית,40000.0,110000.0,GOLF,2034
